canonical,master_cell,cluster_presence,avg_instances
0b0000000010101011,3input0x36_X1,0.500000,0.500000
0b0000000011111110,AND2_X1,1.000000,1.000000
0b0000000011111110,NAND3_X1,0.500000,0.500000
0b0000000011111110,INV_X1,0.500000,0.500000
0b0000000011111110,AOI21_X1,0.500000,0.500000
0b0000011111111111,OR2_X1,0.500000,0.500000
0b0000011111111111,3input0xF_X1,0.500000,0.500000
0b0000011111111111,AOI21_X1,0.500000,0.500000
0b0000011111111111,3input0x36_X1,0.500000,0.500000
0b0000111011101110,NOR2_X1,1.000000,1.000000
0b0000111011101110,AOI21_X2,0.500000,0.500000
0b0000111011101110,AOI21_X1,0.500000,0.500000
0b0010101011111111,3input0x2C_X1,1.000000,1.000000
0b0010101011111111,NOR2_X1,1.000000,1.000000
0b1000100011111000,NOR2_X1,1.000000,1.000000
0b1000100011111000,INV_X1,1.000000,1.000000
0b1000100011111000,3input0x2C_X1,1.000000,1.000000
0b0111,INV_X1,1.000000,1.000000
0b0111,NOR2_X1,1.000000,1.000000
0b00011111,INV_X8,0.500000,0.500000
0b00011111,AOI21_X2,0.500000,0.500000
0b00011111,3input0x36_X1,0.500000,0.500000
0b00011111,INV_X1,0.500000,0.500000
0b10101011,NAND2_X1,1.000000,2.000000
0b10101110,3input0x36_X1,1.000000,1.000000
0b10101110,INV_X1,1.000000,1.000000
0b0000000010001010,AND2_X1,1.000000,1.000000
0b0000000010001010,3input0x29_X1,1.000000,1.000000
0b0000000011101010,3input0x36_X1,1.000000,1.000000
0b0000000011101010,AOI21_X2,1.000000,1.000000
0b0000100010001000,3input0x2C_X1,1.000000,1.000000
0b0000100010001000,NOR2_X1,1.000000,1.000000
0b0000101011001010,3input0x29_X1,1.000000,1.000000
0b0000101011001010,AOI21_X1,1.000000,1.000000
0b0000101110111011,3input0x29_X1,1.000000,1.000000
0b0000101110111011,NOR2_X1,1.000000,1.000000
0b0001111011110000,XOR2_X1,1.000000,1.000000
0b0001111011110000,3input0xF_X1,1.000000,1.000000
0b0001111111111111,NOR2_X1,1.000000,1.000000
0b0001111111111111,3input0x36_X1,1.000000,1.000000
0b0010100010000010,XOR2_X1,1.000000,1.000000
0b0010100010000010,XNOR2_X1,1.000000,1.000000
0b0010100010000010,NOR2_X1,1.000000,1.000000
0b1010101010111111,NAND2_X1,1.000000,2.000000
0b1010101010111111,NAND3_X1,1.000000,1.000000
0b1010111011101110,NAND2_X1,1.000000,1.000000
0b1010111011101110,3input0x2C_X1,1.000000,1.000000
0b1010111011111111,OR2_X1,1.000000,1.000000
0b1010111011111111,3input0x36_X1,1.000000,1.000000
0b1010111011111111,INV_X1,1.000000,1.000000
0b1110101011101110,INV_X1,1.000000,1.000000
0b1110101011101110,3input0xF_X1,1.000000,1.000000
0b1110101011101110,NAND2_X1,1.000000,1.000000
0b1110101011111111,INV_X1,1.000000,1.000000
0b1110101011111111,OR2_X1,1.000000,1.000000
0b1110101011111111,NAND3_X1,1.000000,1.000000
0b1110111011101010,3input0xF_X1,1.000000,1.000000
0b1110111011101010,NAND2_X1,1.000000,1.000000
0b1110111011111110,NAND3_X1,1.000000,1.000000
0b1110111011111110,NAND2_X1,1.000000,1.000000
0b1110111011111110,INV_X1,1.000000,1.000000
0b1110,AND2_X1,1.000000,1.000000
0b1110,INV_X2,1.000000,1.000000
0b00000111,OR2_X1,1.000000,1.000000
0b00000111,AND2_X1,1.000000,1.000000
0b00011001,3input0x29_X1,1.000000,2.000000
0b00011110,NAND2_X1,1.000000,1.000000
0b00011110,XNOR2_X1,1.000000,1.000000
0b00101101,INV_X1,1.000000,1.000000
0b00101101,NAND2_X1,1.000000,1.000000
0b00101101,XNOR2_X1,1.000000,1.000000
0b10001010,INV_X1,1.000000,1.000000
0b10001010,AOI21_X2,1.000000,1.000000
